epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,6.492732568359375,0.017925,4.276925968170166,0.0326
2,4.197465222167969,0.04735,4.110869876098633,0.0528
3,4.030053033447266,0.071175,3.945450540161133,0.076
4,3.8931982635498046,0.094175,3.816322886657715,0.104
5,3.797832537841797,0.110975,3.9817317390441893,0.0857
6,3.7036949981689453,0.127,3.615133973312378,0.1281
7,3.623391973876953,0.14105,3.4743938110351564,0.1558
8,3.524402783203125,0.154475,3.7155970363616944,0.1298
9,3.4404562774658203,0.17155,3.444733716583252,0.1698
10,3.375659274291992,0.181875,3.290923091506958,0.1996
11,3.2992818572998046,0.196925,3.286061307525635,0.2002
12,3.2355530639648435,0.211775,3.2948789947509765,0.184
13,3.2037117095947267,0.216275,3.126914531707764,0.2303
14,3.134853030395508,0.2278,3.328049977874756,0.1944
15,3.080501123046875,0.2388,3.1850844249725343,0.2179
16,3.040075244140625,0.247425,3.2039366191864014,0.2057
17,2.991875228881836,0.254925,3.1620407054901123,0.2269
18,2.9434765411376955,0.2672,3.2997489749908446,0.1968
19,2.9186297107696535,0.269275,3.2457548244476317,0.2335
20,2.8716885650634767,0.283025,3.1071160846710204,0.2479
21,2.8403650939941407,0.285475,2.981063109588623,0.2469
22,2.80307707824707,0.292125,2.7559650707244874,0.2916
23,2.7628499412536622,0.301475,3.009109608078003,0.2513
24,2.7332363609313965,0.30675,3.452003802871704,0.2105
25,2.7193698760986327,0.30845,2.7010454376220703,0.3141
26,2.6740959396362305,0.316275,2.667743943786621,0.3136
27,2.648571212768555,0.323475,3.1692983417510985,0.2341
28,2.6325921646118164,0.3269,2.634879724121094,0.3239
29,2.5842920166015624,0.334925,2.6067691757202147,0.3261
30,2.5605567611694338,0.34165,2.6214444107055663,0.3315
31,2.5318975784301756,0.344825,2.8333447589874265,0.3028
32,2.515404960632324,0.349475,2.7377488986968994,0.3109
33,2.488706926727295,0.3544,2.4541341999053956,0.3626
34,2.4633925842285156,0.362425,2.5346242267608643,0.3462
35,2.4527333992004396,0.3624,2.5059292713165284,0.3534
36,2.4192292751312254,0.370275,2.42349891166687,0.3717
37,2.3886834594726563,0.3731,2.510900294494629,0.3515
38,2.3723119552612304,0.377825,2.4293553115844726,0.375
39,2.3519939361572266,0.382875,2.5875216812133788,0.339
40,2.342567007446289,0.384525,2.4725608295440673,0.3614
