epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,4.897409954833984,0.0415,4.100958526611328,0.0583
2,3.884748748779297,0.095725,4.326067962646484,0.0789
3,3.664939614868164,0.1336,3.6842036266326903,0.1189
4,3.464701919555664,0.167875,3.6012687103271483,0.1394
5,3.302895428466797,0.196975,3.5869460201263426,0.1423
6,3.140607452392578,0.2269,3.3512041873931886,0.1997
7,2.9933751892089844,0.25625,3.1062194198608397,0.2328
8,2.880745962524414,0.275225,2.99026805267334,0.2475
9,2.7566575439453125,0.301425,3.085512720489502,0.243
10,2.6556663898468016,0.31895,3.3491953483581542,0.197
11,2.555986618041992,0.339675,2.827122067260742,0.2811
12,2.462536259460449,0.359825,2.6766774696350097,0.3176
13,2.3522223007202148,0.383525,2.885474889755249,0.2759
14,2.2944944971084595,0.3942,2.6616559421539305,0.3369
15,2.184501252746582,0.419425,2.5971934562683106,0.3384
16,2.123981562805176,0.433375,2.5672753036499025,0.349
17,2.0480263305664064,0.450425,2.706711508178711,0.326
18,1.9772805139541625,0.464875,2.7050806770324707,0.3512
19,1.9055570224761962,0.478725,2.88663971862793,0.2959
20,1.8489924617767335,0.49155,2.8653886516571045,0.3219
21,1.7804820289611816,0.508375,2.4520339237213133,0.3769
22,1.6958482385635376,0.52885,2.6183398597717287,0.3707
23,1.6672903259277343,0.53415,2.4794885986328126,0.3913
24,1.5860216304779053,0.552575,2.5355368438720705,0.3964
25,1.5336468488693238,0.566175,2.58349649848938,0.3815
26,1.4808862108230592,0.578025,2.407861531829834,0.4033
27,1.4409616529464722,0.587425,2.511197430038452,0.3933
28,1.3766104526519776,0.600875,2.740387282562256,0.3786
29,1.3338880149841308,0.611725,2.974324045944214,0.3636
30,1.2900892156600952,0.62165,2.6740754112243654,0.3768
31,1.2267879101753234,0.6359,2.53173595161438,0.4034
32,1.1979228286743164,0.6469,2.9551647563934327,0.3471
33,1.1657715618133544,0.6565,2.550997983932495,0.4013
34,1.1143038747787475,0.66535,2.627452578353882,0.4042
35,1.0698300983428954,0.6779,2.6278669898986817,0.3927
36,1.0513496751785278,0.681175,3.0395131973266603,0.3638
37,1.01713112449646,0.693425,2.9600992721557615,0.3789
38,0.9827100313186645,0.7008,2.8314627601623537,0.3882
39,0.9519841648101807,0.708375,2.807595592880249,0.4016
40,0.916906081199646,0.718025,2.581278811645508,0.4211
41,0.8807328227996826,0.726975,3.075232530593872,0.3741
42,0.8595163036346436,0.734675,3.616840757751465,0.3422
43,0.8433371417999268,0.74315,2.994741319656372,0.3959
44,0.8052130926132202,0.749825,2.7616880138397217,0.412
45,0.7737479391098022,0.758725,2.9315292491912843,0.4064
46,0.7821328115463256,0.755175,2.6882360893249513,0.4236
47,0.7348040290832519,0.768775,3.0991465450286864,0.4071
48,0.7321208352088928,0.767125,2.8084002544403077,0.42
49,0.7060518413543702,0.775975,3.0112581886291503,0.3929
50,0.6918644506454468,0.782575,3.1593062492370607,0.3948
