epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,4.163829315185547,0.0559,3.9211410430908202,0.0934
2,3.700533840942383,0.11715,3.661795397567749,0.1196
3,3.4159388885498045,0.1619,3.4472966972351076,0.1609
4,3.1025274322509766,0.219575,2.9106626678466796,0.2598
5,2.8109390411376953,0.275625,2.9318814586639403,0.2667
6,2.591189776611328,0.31815,2.8049179183959962,0.2983
7,2.3923364654541017,0.3616,2.7295125637054443,0.3166
8,2.2423492015838624,0.393425,2.3516478160858156,0.3778
9,2.122609838104248,0.42135,2.087793621826172,0.4329
10,1.992512487411499,0.450825,2.1201981687545777,0.4288
11,1.874852928161621,0.477925,2.149664001655579,0.4224
12,1.8260885032653809,0.4902,2.029517725753784,0.4485
13,1.7435989700317382,0.5099,1.9695166488647462,0.4654
14,1.6798391006469726,0.5222,1.864675640296936,0.4931
15,1.6003669649124146,0.544375,1.7765866987228394,0.5078
16,1.5496699960708618,0.5585,1.7123890546798706,0.5288
17,1.483143586730957,0.575025,1.7535277847290038,0.5114
18,1.443862613105774,0.5835,1.6742626953125,0.539
19,1.388904928970337,0.5971,1.7453974683761597,0.5253
20,1.3523263301849364,0.605925,1.789067332458496,0.5264
21,1.3138141286849976,0.61605,1.9135867782592773,0.4888
22,1.2740139778137207,0.624075,1.7841105096817016,0.5273
23,1.2513448167800902,0.633925,1.6829133796691895,0.5426
24,1.2027117542266845,0.64595,1.5304441171646117,0.5739
25,1.1651605178833009,0.65715,1.6203586965560912,0.5559
26,1.1417217952728271,0.660275,1.614698631668091,0.5694
27,1.1019407453536987,0.673825,1.4652567638397216,0.5981
28,1.0796069953918457,0.6788,1.512385118484497,0.5937
29,1.070363365650177,0.680025,1.6966699169158936,0.5631
30,1.011256171798706,0.69375,1.4334973464965821,0.6054
31,0.990969668006897,0.701725,1.4862348817825317,0.6007
32,0.973347620010376,0.708125,1.5433047803878783,0.5866
33,0.9321621839523315,0.720425,1.456347406578064,0.6083
34,0.9155300208091736,0.721075,1.4136140344619752,0.6185
35,0.8841724102020264,0.730425,1.5301929883956908,0.5979
36,0.8626322771072388,0.736375,1.543429633331299,0.6021
37,0.8349201642990113,0.744325,1.5433149913787843,0.6034
38,0.83355384349823,0.743675,1.6937657707214355,0.5769
39,0.8194272819519043,0.748725,1.4789549423217774,0.6163
40,0.780823959159851,0.76085,1.4639453964233398,0.6139
